tenant_slug,product_name,description,price_cpm,delivery_type,formats,targeting_json
tiktok,TikTok Home Review,🔥 VIRAL ALERT! Your brand in front of 1B+ creators! Join the #TikTokHome movement with our home sponsorship. Perfect for brands wanting to tap into Gen Z's favorite platform. Reach millions of engaged users who love to discover new products through authentic creator content. Limited availability - get trending NOW! 🚀,24.01,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""France"", ""UK"", ""Germany""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Business Review,🔥 VIRAL ALERT! Your brand in front of 1B+ creators! Join the #TikTokBusiness movement with our business sponsorship. Perfect for brands wanting to tap into Gen Z's favorite platform. Reach millions of engaged users who love to discover new products through authentic creator content. Limited availability - get trending NOW! 🚀,20.74,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""France"", ""Singapore"", ""UK""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Shopping Vlog,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok shopping with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's shopping culture. Make some noise! 🔊",22.54,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""USA"", ""UK"", ""Germany""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Viral Duet,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok viral with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's viral culture. Make some noise! 🔊",17.79,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""UK"", ""France"", ""Germany""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Dance Dance,"🎥 LIVE & UNFILTERED! Take over TikTok dance with your brand message reaching 500K+ real-time viewers. Perfect for product launches, announcements, or brand awareness. Our creators bring authenticity and engagement that traditional ads can't match. When TikTok goes dance, your brand goes viral! 📱",23.39,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Germany"", ""Singapore"", ""UK""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok DIY Challenge,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok diy with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's diy culture. Make some noise! 🔊",17.67,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Australia"", ""USA"", ""UK""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Dance Takeover,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok dance with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's dance culture. Make some noise! 🔊",15.92,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""USA"", ""Singapore"", ""France""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Business Story,🔥 VIRAL ALERT! Your brand in front of 1B+ creators! Join the #TikTokBusiness movement with our business sponsorship. Perfect for brands wanting to tap into Gen Z's favorite platform. Reach millions of engaged users who love to discover new products through authentic creator content. Limited availability - get trending NOW! 🚀,24.74,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""France"", ""Germany"", ""Singapore""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Trending Live Stream,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok trending with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's trending culture. Make some noise! 🔊",17.19,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Singapore"", ""USA"", ""Germany""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Live Vlog,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok live with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's live culture. Make some noise! 🔊",23.17,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Australia"", ""UK"", ""Germany""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Entertainment Tutorial,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok entertainment with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's entertainment culture. Make some noise! 🔊",22.29,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""France"", ""Singapore"", ""UK""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Shopping Sound Bite,"🎥 LIVE & UNFILTERED! Take over TikTok shopping with your brand message reaching 500K+ real-time viewers. Perfect for product launches, announcements, or brand awareness. Our creators bring authenticity and engagement that traditional ads can't match. When TikTok goes shopping, your brand goes viral! 📱",24.09,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Australia"", ""France"", ""Singapore""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Home Vlog,"🎥 LIVE & UNFILTERED! Take over TikTok home with your brand message reaching 500K+ real-time viewers. Perfect for product launches, announcements, or brand awareness. Our creators bring authenticity and engagement that traditional ads can't match. When TikTok goes home, your brand goes viral! 📱",15.22,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""UK"", ""USA"", ""Singapore""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Comedy Takeover,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok comedy with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's comedy culture. Make some noise! 🔊",16.8,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Australia"", ""USA"", ""UK""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Education Review,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok education with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's education culture. Make some noise! 🔊",17.54,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Singapore"", ""France"", ""Australia""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Travel Vlog,🔥 VIRAL ALERT! Your brand in front of 1B+ creators! Join the #TikTokTravel movement with our travel sponsorship. Perfect for brands wanting to tap into Gen Z's favorite platform. Reach millions of engaged users who love to discover new products through authentic creator content. Limited availability - get trending NOW! 🚀,23.22,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Australia"", ""Germany"", ""France""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Dance Live Stream,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok dance with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's dance culture. Make some noise! 🔊",19.6,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Germany"", ""Singapore"", ""UK""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Home Live Stream,"🎥 LIVE & UNFILTERED! Take over TikTok home with your brand message reaching 500K+ real-time viewers. Perfect for product launches, announcements, or brand awareness. Our creators bring authenticity and engagement that traditional ads can't match. When TikTok goes home, your brand goes viral! 📱",24.98,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Singapore"", ""USA"", ""France""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Business Story,"🎥 LIVE & UNFILTERED! Take over TikTok business with your brand message reaching 500K+ real-time viewers. Perfect for product launches, announcements, or brand awareness. Our creators bring authenticity and engagement that traditional ads can't match. When TikTok goes business, your brand goes viral! 📱",23.24,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Germany"", ""Singapore"", ""USA""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok DIY Duet,🔥 VIRAL ALERT! Your brand in front of 1B+ creators! Join the #TikTokDIY movement with our diy sponsorship. Perfect for brands wanting to tap into Gen Z's favorite platform. Reach millions of engaged users who love to discover new products through authentic creator content. Limited availability - get trending NOW! 🚀,19.91,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""UK"", ""Germany"", ""France""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Travel Review,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok travel with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's travel culture. Make some noise! 🔊",17.3,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Germany"", ""UK"", ""USA""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Education Tutorial,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok education with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's education culture. Make some noise! 🔊",21.19,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""USA"", ""Germany"", ""Singapore""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Dance Dance,"🎥 LIVE & UNFILTERED! Take over TikTok dance with your brand message reaching 500K+ real-time viewers. Perfect for product launches, announcements, or brand awareness. Our creators bring authenticity and engagement that traditional ads can't match. When TikTok goes dance, your brand goes viral! 📱",17.64,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Singapore"", ""Australia"", ""France""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Shopping Takeover,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok shopping with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's shopping culture. Make some noise! 🔊",18.15,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Australia"", ""UK"", ""Germany""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Home Sound Bite,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok home with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's home culture. Make some noise! 🔊",16.25,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Germany"", ""Australia"", ""Singapore""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Entertainment Story,🔥 VIRAL ALERT! Your brand in front of 1B+ creators! Join the #TikTokEntertainment movement with our entertainment sponsorship. Perfect for brands wanting to tap into Gen Z's favorite platform. Reach millions of engaged users who love to discover new products through authentic creator content. Limited availability - get trending NOW! 🚀,24.0,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""USA"", ""Singapore"", ""Australia""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
