tenant_slug,product_name,description,price_cpm,delivery_type,formats_json,targeting_json
netflix,Netflix Dwayne Johnson Package 1,Premium content meets star power with our Dwayne Johnson spotlight package. Reach fans and enthusiasts worldwide who admire Dwayne Johnson while aligning your brand with exclusive cinematic appeal.,55,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""USA"", ""UK"", ""Australia""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix The Crown Package 2,"An exclusive package around the hit series The Crown delivers cinematic storytelling and immersive engagement. Connect with devoted audiences who can't get enough of The Crown, and place your brand in a premium environment they trust.",59,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Australia"", ""USA"", ""Germany""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Fantasy Epics Package 3,Curate your message alongside our Fantasy Epics selection for a premium viewing experience. Reach genre lovers looking for compelling narratives and hook them with the cinematic feel only Netflix provides.,46,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Germany""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix International Hits Collection Package 4,Our International Hits Collection offers advertisers a curated slate of exclusive titles designed for binge worthy sessions. Engage audiences seeking distinguished selections and showcase your brand within a cinematic premium collection.,77,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""UK"", ""Germany""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix High Income Audience Pack Package 5,"Target your campaign with our High Income Audience Pack designed to capture a specific segment of the Netflix audience. This premium pack reaches viewers who align perfectly with your brand, ensuring your message lands with impact.",56,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Australia""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Emma Stone Package 6,Premium content meets star power with our Emma Stone spotlight package. Reach fans and enthusiasts worldwide who admire Emma Stone while aligning your brand with exclusive cinematic appeal.,44,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""USA"", ""Australia"", ""UK""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Ozark Package 7,"An exclusive package around the hit series Ozark delivers cinematic storytelling and immersive engagement. Connect with devoted audiences who can't get enough of Ozark, and place your brand in a premium environment they trust.",50,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Singapore""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Family Favorites Package 8,Curate your message alongside our Family Favorites selection for a premium viewing experience. Reach genre lovers looking for compelling narratives and hook them with the cinematic feel only Netflix provides.,73,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""USA"", ""France""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Kids Entertainment Collection Package 9,Our Kids Entertainment Collection offers advertisers a curated slate of exclusive titles designed for binge worthy sessions. Engage audiences seeking distinguished selections and showcase your brand within a cinematic premium collection.,57,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Australia""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Sports Fans Audience Pack Package 10,"Target your campaign with our Sports Fans Audience Pack designed to capture a specific segment of the Netflix audience. This premium pack reaches viewers who align perfectly with your brand, ensuring your message lands with impact.",66,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""UK"", ""Australia"", ""Germany""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Jason Momoa Package 11,Premium content meets star power with our Jason Momoa spotlight package. Reach fans and enthusiasts worldwide who admire Jason Momoa while aligning your brand with exclusive cinematic appeal.,62,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""UK"", ""Australia"", ""Germany""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix The Crown Package 12,"An exclusive package around the hit series The Crown delivers cinematic storytelling and immersive engagement. Connect with devoted audiences who can't get enough of The Crown, and place your brand in a premium environment they trust.",42,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Singapore""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Fantasy Epics Package 13,Curate your message alongside our Fantasy Epics selection for a premium viewing experience. Reach genre lovers looking for compelling narratives and hook them with the cinematic feel only Netflix provides.,62,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""UK"", ""Australia""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix International Hits Collection Package 14,Our International Hits Collection offers advertisers a curated slate of exclusive titles designed for binge worthy sessions. Engage audiences seeking distinguished selections and showcase your brand within a cinematic premium collection.,58,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Germany"", ""Singapore"", ""Australia""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix High Income Audience Pack Package 15,"Target your campaign with our High Income Audience Pack designed to capture a specific segment of the Netflix audience. This premium pack reaches viewers who align perfectly with your brand, ensuring your message lands with impact.",59,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""UK"", ""Australia""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Will Smith Package 16,Premium content meets star power with our Will Smith spotlight package. Reach fans and enthusiasts worldwide who admire Will Smith while aligning your brand with exclusive cinematic appeal.,73,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""USA"", ""Germany"", ""UK""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Ozark Package 17,"An exclusive package around the hit series Ozark delivers cinematic storytelling and immersive engagement. Connect with devoted audiences who can't get enough of Ozark, and place your brand in a premium environment they trust.",69,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Singapore"", ""France""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Family Favorites Package 18,Curate your message alongside our Family Favorites selection for a premium viewing experience. Reach genre lovers looking for compelling narratives and hook them with the cinematic feel only Netflix provides.,45,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Australia"", ""Germany""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Kids Entertainment Collection Package 19,Our Kids Entertainment Collection offers advertisers a curated slate of exclusive titles designed for binge worthy sessions. Engage audiences seeking distinguished selections and showcase your brand within a cinematic premium collection.,75,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""France"", ""Germany""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Sports Fans Audience Pack Package 20,"Target your campaign with our Sports Fans Audience Pack designed to capture a specific segment of the Netflix audience. This premium pack reaches viewers who align perfectly with your brand, ensuring your message lands with impact.",61,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Germany"", ""France""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Dwayne Johnson Package 21,Premium content meets star power with our Dwayne Johnson spotlight package. Reach fans and enthusiasts worldwide who admire Dwayne Johnson while aligning your brand with exclusive cinematic appeal.,37,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""UK""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix The Crown Package 22,"An exclusive package around the hit series The Crown delivers cinematic storytelling and immersive engagement. Connect with devoted audiences who can't get enough of The Crown, and place your brand in a premium environment they trust.",75,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""USA""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Fantasy Epics Package 23,Curate your message alongside our Fantasy Epics selection for a premium viewing experience. Reach genre lovers looking for compelling narratives and hook them with the cinematic feel only Netflix provides.,76,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Singapore""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix International Hits Collection Package 24,Our International Hits Collection offers advertisers a curated slate of exclusive titles designed for binge worthy sessions. Engage audiences seeking distinguished selections and showcase your brand within a cinematic premium collection.,70,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""USA""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix High Income Audience Pack Package 25,"Target your campaign with our High Income Audience Pack designed to capture a specific segment of the Netflix audience. This premium pack reaches viewers who align perfectly with your brand, ensuring your message lands with impact.",59,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Australia"", ""UK"", ""France""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Emma Stone Package 26,Premium content meets star power with our Emma Stone spotlight package. Reach fans and enthusiasts worldwide who admire Emma Stone while aligning your brand with exclusive cinematic appeal.,47,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Singapore""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Ozark Package 27,"An exclusive package around the hit series Ozark delivers cinematic storytelling and immersive engagement. Connect with devoted audiences who can't get enough of Ozark, and place your brand in a premium environment they trust.",43,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""USA"", ""France"", ""Singapore""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Family Favorites Package 28,Curate your message alongside our Family Favorites selection for a premium viewing experience. Reach genre lovers looking for compelling narratives and hook them with the cinematic feel only Netflix provides.,53,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Singapore"", ""UK"", ""Australia""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Kids Entertainment Collection Package 29,Our Kids Entertainment Collection offers advertisers a curated slate of exclusive titles designed for binge worthy sessions. Engage audiences seeking distinguished selections and showcase your brand within a cinematic premium collection.,71,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""UK"", ""Singapore"", ""France""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Sports Fans Audience Pack Package 30,"Target your campaign with our Sports Fans Audience Pack designed to capture a specific segment of the Netflix audience. This premium pack reaches viewers who align perfectly with your brand, ensuring your message lands with impact.",75,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""UK"", ""USA""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Jason Momoa Package 31,Premium content meets star power with our Jason Momoa spotlight package. Reach fans and enthusiasts worldwide who admire Jason Momoa while aligning your brand with exclusive cinematic appeal.,38,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Australia"", ""UK""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix The Crown Package 32,"An exclusive package around the hit series The Crown delivers cinematic storytelling and immersive engagement. Connect with devoted audiences who can't get enough of The Crown, and place your brand in a premium environment they trust.",42,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Australia""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Fantasy Epics Package 33,Curate your message alongside our Fantasy Epics selection for a premium viewing experience. Reach genre lovers looking for compelling narratives and hook them with the cinematic feel only Netflix provides.,63,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Germany"", ""Australia"", ""Singapore""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix International Hits Collection Package 34,Our International Hits Collection offers advertisers a curated slate of exclusive titles designed for binge worthy sessions. Engage audiences seeking distinguished selections and showcase your brand within a cinematic premium collection.,59,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Germany"", ""Australia""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix High Income Audience Pack Package 35,"Target your campaign with our High Income Audience Pack designed to capture a specific segment of the Netflix audience. This premium pack reaches viewers who align perfectly with your brand, ensuring your message lands with impact.",60,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Germany"", ""UK""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Will Smith Package 36,Premium content meets star power with our Will Smith spotlight package. Reach fans and enthusiasts worldwide who admire Will Smith while aligning your brand with exclusive cinematic appeal.,58,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""USA""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Ozark Package 37,"An exclusive package around the hit series Ozark delivers cinematic storytelling and immersive engagement. Connect with devoted audiences who can't get enough of Ozark, and place your brand in a premium environment they trust.",79,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""France"", ""Australia""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Family Favorites Package 38,Curate your message alongside our Family Favorites selection for a premium viewing experience. Reach genre lovers looking for compelling narratives and hook them with the cinematic feel only Netflix provides.,74,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""France"", ""Australia"", ""USA""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Kids Entertainment Collection Package 39,Our Kids Entertainment Collection offers advertisers a curated slate of exclusive titles designed for binge worthy sessions. Engage audiences seeking distinguished selections and showcase your brand within a cinematic premium collection.,39,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""UK"", ""Australia""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Sports Fans Audience Pack Package 40,"Target your campaign with our Sports Fans Audience Pack designed to capture a specific segment of the Netflix audience. This premium pack reaches viewers who align perfectly with your brand, ensuring your message lands with impact.",52,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Australia"", ""UK""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Dwayne Johnson Package 41,Premium content meets star power with our Dwayne Johnson spotlight package. Reach fans and enthusiasts worldwide who admire Dwayne Johnson while aligning your brand with exclusive cinematic appeal.,58,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""UK""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix The Crown Package 42,"An exclusive package around the hit series The Crown delivers cinematic storytelling and immersive engagement. Connect with devoted audiences who can't get enough of The Crown, and place your brand in a premium environment they trust.",48,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Germany"", ""UK"", ""France""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Fantasy Epics Package 43,Curate your message alongside our Fantasy Epics selection for a premium viewing experience. Reach genre lovers looking for compelling narratives and hook them with the cinematic feel only Netflix provides.,74,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""France""], ""device_type_any_of"": [""CTV""]}"
